,edit_history_tweet_ids,id,text,lang
15,['1652055510189834250'],1652055510189834250,"rt hare16966101: 
pepsi sodapop softdrinks",en
16,['1652054054082875392'],1652054054082875392,rt masonmounteng: 😎 our model became an ambassador for pepsi last month 👌. he's so classy 💛✨ ,en
17,['1652053640691998730'],1652053640691998730,rt immunenaturally: grex9101 kentstormchaser pepsi cocacola_gb just so happens cherry coke is what was in my fridge and this week mana…,en
18,['1652052938204880896'],1652052938204880896,"grex9101 kentstormchaser pepsi cocacola_gb just so happens cherry coke is what was in my fridge and this week managed to bag a few of the last old recipe pepsi cans so when its gone, its gone. the m&amp;s lemonade got replaced to some horrid imitation they cut sugar n added stevia not listed tho?  tastes naff like new pepsi",en
19,['1652052690921218049'],1652052690921218049,"also place at spotify camp nou for a nba cafe. as you share colors with us fcbarcelona, pepsi invited too. ",en
20,['1652052640040099840'],1652052640040099840,😎 our model became an ambassador for pepsi last month 👌. he's so classy 💛✨ ,en
22,['1652051447284916233'],1652051447284916233,"pepsico (nasdaq: $pep) gains momentum as market volatility subsides, blog at:  
elliottwave pepsi stockmarket trading",en
23,['1652048956359057438'],1652048956359057438,honestly pepsi pepsiglobal you’ve broken my heart here! give me back my sugar 😭😭😭 if i wanted less i’d get a diet or max drink! pepsi bringbacksugar,en
24,['1652048467722641441'],1652048467722641441,mark_lapping freebyrd316 nicomartelle hemanismyhero stradlemonkey motudrawing brokenbridgegxb sinjun45 captainbacon61 addictedhe the_tyebox hemanfan1 brooksidefilms tentaclause gillster37 therealwallbie aliciamariebody lizhobbs1974 smax140adams cimerians michaelodomart jfdm76 wheeljack83 deanetts seitayokokawa kevhulk73 battleramblog tylerslam dccomics mattel mastersofficial kimberlandart pepsi neca_toys hulkhogan konami metallica outbacksteakaus arcade_1up oreo pandaexpress pizzahut codyrhodes ,en
25,['1652047476709269504'],1652047476709269504,lovemesome1980s freebyrd316 nicomartelle hemanismyhero stradlemonkey motudrawing brokenbridgegxb sinjun45 captainbacon61 addictedhe the_tyebox hemanfan1 brooksidefilms tentaclause gillster37 therealwallbie aliciamariebody lizhobbs1974 smax140adams cimerians michaelodomart jfdm76 wheeljack83 deanetts seitayokokawa kevhulk73 battleramblog tylerslam dccomics mattel mastersofficial kimberlandart pepsi neca_toys hulkhogan konami metallica outbacksteakaus arcade_1up oreo pandaexpress pizzahut codyrhodes ,en
26,['1652045271381975068'],1652045271381975068,"rt theatgpod: episode 22 theatgpod w/kellycrandall 

🏁 becoming a fan
🥤 2001 pepsi  400
🎧 the racing writers podcast
📝 co-author nasca…",en
28,['1652044982386040837'],1652044982386040837,well pepsi    is pretty disgusting now isn't it? 😤,en
29,['1652044426821115909'],1652044426821115909,"immunenaturally kentstormchaser pepsi cocacola_gb not quite. coke (inc. cherry coke) is still sweetener free. as is appletiser, some drinks by soda folk and ""classic"" lemonade in m&amp;s an sainsbury's. 

damn short list, i grant you that.",en
30,['1652042042124410900'],1652042042124410900,"thirsty thursday is calling your name! join us on may 4 and enjoy $2 fountain sodas (24 oz.) and domestic draft beer (16 oz.) all game long courtesy of budlight, pepsi,  and 1039thebear. gates open at 6 p.m. get your tickets now at ! ",en
31,['1652041764209827856'],1652041764209827856,"let’s see the brands in a new way. 🤩

cr: atomikestudio 

brands design creative nike mcdonalds adidas pepsi ",en
32,['1652041409518510098'],1652041409518510098,"rt derekyoder_: episode 22 theatgpod w/kellycrandall 

🏁 becoming a fan
🥤 2001 pepsi 400
🎧 the racing writers podcast
📝 co-author nasc…",en
33,['1652041153557016576'],1652041153557016576,pepsi is ruined. new formula is terrible and ruined my friday rum night. back to cocacola i go. ,en
34,['1652035290901389321'],1652035290901389321,pepsi hello pepsi. wanna slide a follow back? i got validation from mtndewgaming,en
36,['1652035086055866370'],1652035086055866370,"rt derekyoder_: episode 22 theatgpod w/kellycrandall 

🏁 becoming a fan
🥤 2001 pepsi 400
🎧 the racing writers podcast
📝 co-author nasc…",en
39,['1652033524126326785'],1652033524126326785,tesla_is_trex pepsico pepsi me not care,en
42,['1652031642704433152'],1652031642704433152,"omg, that rise up baby ad
samantha pepsi",en
43,['1652031573943009280'],1652031573943009280,"asylum is going live shortly for the best various gaming. best place for you to chill. come hang out and get crazy with your favorite loons.  
twitchprime smallstreamer smallstreamercommunity gamerforlife gamer twitchaffiliate twitchprime pepsi ",en
44,['1652031240801865729'],1652031240801865729,stopfundinghate purecremation skyuk jet2tweets goldenleavesuk moneysupermkt fireawaypizza belgicaweb chumsclothinguk homestoreint postcodelottery rolex pepsi pure cremation seems apt. where soon unemployed mps and journalists go to crash and burn,en
46,['1652028482367688704'],1652028482367688704,"asylum is going live soon for freestyle fridays. best place for some varied gaming. come hang out and get crazy with your fav nuts, 
twitchprime smallstreamer smallstreamercommunity gamerforlife gamer twitchaffiliate freestylefridays pepsi",en
48,['1652022537771991062'],1652022537771991062,pepsi my apush teacher told a kid in my class that if he chugged a 2 liter pepsi in 2 minutes she’d give him a 100 quiz grade. he projectile vomited everywhere and she was fired. send us pepsi shirts and we’ll all wear them during the apush exam.,en
1,['1652019515671314432'],1652019515671314432,"rt dp_karthik: .samanthaprabhu2 absolutely slays in the latest pepsi ad 😍👌🏻 smart, sexy &amp; totally owning it 🔥 ",en
2,['1652018476444205079'],1652018476444205079,"episode 22 theatgpod w/kellycrandall 

🏁 becoming a fan
🥤 2001 pepsi  400
🎧 the racing writers podcast
📝 co-author nascar75  
📚 book worm
😵‍💫 chasebriscoe_14 360
💥 ryanpreece_ 41gs
🏈 steelers fan
🏟️ monstermile preview

atgpod | nascar
",en
3,['1652018430877286409'],1652018430877286409,stopfundinghate purecremation skyuk jet2tweets goldenleavesuk moneysupermkt fireawaypizza belgicaweb chumsclothinguk homestoreint postcodelottery rolex pepsi he’s auditioning for tucker’s spot on fox … he’s a total fake so may have a chance!,en
4,['1652018355576905728'],1652018355576905728,"episode 22 theatgpod w/kellycrandall 

🏁 becoming a fan
🥤 2001 pepsi 400
🎧 the racing writers podcast
📝 co-author nascar75 
📚 book worm
😵‍💫 chasebriscoe_14 360
💥 ryanpreece_ 41gs
🏈 steelers fan
🏟️ monstermile preview

atgpod | nascar 
",en
5,['1652017352756609024'],1652017352756609024,"the medical league ug!!!!
themedicalleagueug
mengoss 
ogwangogwang balale19 kabajjaali athletickampala theumaofficial pepsi cocacola widespectrumug mtnug airtel_ug hillwaterltd ntvuganda bbstvug ubctvuganda urbantvuganda nbstv 892cbsfm allandarren snduhukire ",en
7,['1652016736143654912'],1652016736143654912,rt thedislexicpoet: pepsi put your recipe back!!! the new ingredients are awful!!! freedom for sugar!!,en
9,['1652015336399548418'],1652015336399548418,"pepsi icelandfoods 
can someone help please we bought a pack of 24 pepsis from iceland, but it is pepsi max in the pepsi cans? please advise",en
11,['1652014632041627651'],1652014632041627651,commanders emmanuelforbes7 pepsi welcome,en
19,['1652012162859126784'],1652012162859126784,tonybirdlondon stopfundinghate purecremation skyuk jet2tweets goldenleavesuk moneysupermkt fireawaypizza belgicaweb chumsclothinguk homestoreint postcodelottery rolex pepsi pepsico_uk pepsimaxuk i guess you are more of a fanta type.,en
20,['1652012145465344002'],1652012145465344002,ogwangogwang balale19 kabajjaali athletickampala theumaofficial pepsi cocacola widespectrumug mtnug airtel_ug hillwaterltd ntvuganda bbstvug ubctvuganda urbantvuganda nbstv 892cbsfm allandarren asou_official sndukire orthosocietyug umaofficial ,en
22,['1652010790642171921'],1652010790642171921,theheat21 pepsico pepsi u need poison?,en
24,['1652009906529026079'],1652009906529026079,"for athletes like brian westbrook and joelle zelony, team sports and life afterward come down to individual relationships.

""how do you make sure the team is stronger than yourself? 

(⚡️ by pepsi) ",en
25,['1652009349013749798'],1652009349013749798,freebyrd316 nicomartelle hemanismyhero stradlemonkey motudrawing brokenbridgegxb mark_lapping sinjun45 captainbacon61 addictedhe the_tyebox hemanfan1 brooksidefilms tentaclause gillster37 therealwallbie aliciamariebody lizhobbs1974 smax140adams cimerians michaelodomart jfdm76 wheeljack83 deanetts seitayokokawa kevhulk73 battleramblog tylerslam dccomics mattel mastersofficial kimberlandart pepsi neca_toys hulkhogan konami metallica outbacksteakaus arcade_1up oreo pandaexpress pizzahut codyrhodes 💥to celebrate motu day💥 i want to know what was your favorite motu toy that you had growing up? here's mine and i took it everywhere i went. i lost it when we moved but found one on ebay sealed and now it proudly hangs in my he-man cave. motuday heman motu ,en
26,['1652009221301448704'],1652009221301448704,stopfundinghate purecremation skyuk jet2tweets goldenleavesuk moneysupermkt fireawaypizza belgicaweb chumsclothinguk homestoreint postcodelottery rolex pepsi what a silly but potentially dangerous man.,en
27,['1652009074823708677'],1652009074823708677,commanders emmanuelforbes7 pepsi he is the best! hail state!!,en
30,['1652006889301917711'],1652006889301917711,"$pep has had an impressive move into resistance. will the price of sugar soaring impact the margins?
  

pepsi $ko $xlp",en
31,['1652005786309017607'],1652005786309017607,singingsista18 pepsi they changed the god dam recipe in february!! uts disgusting now!,en
32,['1652005566623916034'],1652005566623916034,"sudan conflict threatens pepsi and coke due to shortage of key ingredient
the conflict in sudan has left international consumer goods makers racing to shore up supplies of gum arabic - critical to the food, drinks and cosmetics industry. coke pepsi",en
35,['1652004036755767314'],1652004036755767314,"pepsico pepsi i'll pass on all the sugar, no thanks.",en
36,['1652003275984519191'],1652003275984519191,"stopfundinghate purecremation skyuk jet2tweets goldenleavesuk moneysupermkt fireawaypizza belgicaweb chumsclothinguk homestoreint postcodelottery rolex pepsi truth hurts, doesn't it?! you are projecting your own hate and see everything thought it. you wouldn't know truth if it'd hit you on the head.stop winning.",en
37,['1652002021245960192'],1652002021245960192,pepsi what ever happened to pepsicafe? i was looking forward to it but it never came around. y'all to starry-eyed to stay focused or what? ;) xd,en
38,['1652001187145863168'],1652001187145863168,pepsi unveils new campaign with actress samantha ruth prabhu as brand ambassador brandnews pepsi samantharuthprabhu ,en
40,['1652000871587229717'],1652000871587229717,"pepsi brand ambassador....
just wanna promote pepsico in nigeria..
we love pepsico products
try bringing more of these products to 9ja
pepsi9ja 
get pepsi zero sugar mini cans + chestercheetah flamin' hot fritolayminis on shelves now!
getapepsicoproductnow ",en
43,['1651998018500165634'],1651998018500165634,lovemesome1980s freebyrd316 nicomartelle hemanismyhero stradlemonkey motudrawing mark_lapping sinjun45 captainbacon61 addictedhe the_tyebox hemanfan1 brooksidefilms tentaclause gillster37 therealwallbie aliciamariebody lizhobbs1974 smax140adams cimerians michaelodomart jfdm76 wheeljack83 deanetts seitayokokawa kevhulk73 battleramblog tylerslam dccomics mattel mastersofficial kimberlandart pepsi neca_toys hulkhogan konami metallica outbacksteakaus arcade_1up oreo pandaexpress pizzahut codyrhodes great pics 😊👍,en
44,['1651997828615483406'],1651997828615483406,"freebyrd316 nicomartelle hemanismyhero stradlemonkey motudrawing brokenbridgegxb mark_lapping sinjun45 captainbacon61 addictedhe the_tyebox hemanfan1 brooksidefilms tentaclause gillster37 therealwallbie aliciamariebody lizhobbs1974 smax140adams cimerians michaelodomart jfdm76 wheeljack83 deanetts seitayokokawa kevhulk73 battleramblog tylerslam dccomics mattel mastersofficial kimberlandart pepsi neca_toys hulkhogan konami metallica outbacksteakaus arcade_1up oreo pandaexpress pizzahut codyrhodes well, it looks like that i'm going to have to get another ""unlicensed nuclear accelerator"" and that's awesome.🤘👻🚫 protonpack whoyagonnacall 
ghostbusters iaintafraidofnoghost bustingmakesmefeelgood 

 ",en
47,['1651996964966346770'],1651996964966346770,"hey pepsi tell me.... how can both these nuitrition labels for mtn dew, be right? answer: they can't. how much of recommended adult intake of sugar again? pepsicanada

rdtwitter nuitionist cfia govcanhealth ",en
0,['1651995880424189958'],1651995880424189958,commanders emmanuelforbes7 pepsi best pick of the draft. special young man with a special talent! straight dog in the backfield! welcome emmanuelforbes7 httc,en
1,['1651994599341142016'],1651994599341142016,clearly my students at ⁦rfkcommunity⁩ doctor franklin perkins school know about my diet ⁦pepsi⁩ vice! they just stopped in with a friday sweet treat!! ,en
2,['1651993843041009666'],1651993843041009666,"amalqa_ cocacola_ksa pepsi obviously, creative advertising is not your thing.",en
5,['1651991892161077248'],1651991892161077248,"speaking with freddyroosevelt, amajor823, rillitamichelle, mamamianola, traphousepapi and _heyitstiff  ⁦redbull⁩ are you paying attention? kindly no more ⁦pepsi⁩ and ⁦revolttv⁩ it’s ok ⁦freddyroosevelt⁩ does this!",en
7,['1651991162390032397'],1651991162390032397,"despite the threat of a tiktok_us ban, usa advertising on tiktok grew 11% in march 2023 with top spenders including apple, pepsi, doordash  and amazon.

ads business growth money",en
8,['1651989293726937100'],1651989293726937100,"tonybirdlondon stopfundinghate purecremation skyuk jet2tweets goldenleavesuk moneysupermkt fireawaypizza belgicaweb chumsclothinguk homestoreint postcodelottery rolex pepsi pepsico_uk pepsimaxuk i will join you, i will miss pepsi max but i can't buy a company's product that sponsors that much hate.",en
10,['1651988486105313301'],1651988486105313301,"yelp reviews can be extremely frustrating for business owners!

youtube: 
listen: 

podcast marketing marketingpodcast marketingtips
marketingstrategy businesssuccess businessreviews yelp pepsi ",en
13,['1651987633508167690'],1651987633508167690,"we're still in full swing but quick shout-out to cityofcincy rumpkenews votelizkeating cintrifuse team, kroger proctergamble fifththird madtreebrewing michelman cocacola cvgairport pepsi for outsourcing an extreme challenge to startups.  rethinkrecycling…  ",en
14,['1651985158738780160'],1651985158738780160,stopfundinghate purecremation skyuk jet2tweets goldenleavesuk moneysupermkt fireawaypizza belgicaweb chumsclothinguk homestoreint postcodelottery rolex pepsi will avoid these brands wherever possible until they show some decency.  dobetter,en
15,['1651984279746781184'],1651984279746781184,"pepsico pepsi no, don't want to die yet.",en
16,['1651983289635295234'],1651983289635295234,commanders emmanuelforbes7 pepsi you have no idea what you have gotten in this young man but you will. he is hail state strong.,en
17,['1651981985512824839'],1651981985512824839,commanders emmanuelforbes7 pepsi he’s a hillbilly let’s go,en
20,['1651980848793546752'],1651980848793546752,motudrawing freebyrd316 nicomartelle hemanismyhero stradlemonkey brokenbridgegxb mark_lapping sinjun45 captainbacon61 addictedhe the_tyebox hemanfan1 brooksidefilms tentaclause gillster37 therealwallbie aliciamariebody lizhobbs1974 smax140adams cimerians michaelodomart jfdm76 wheeljack83 deanetts seitayokokawa kevhulk73 battleramblog tylerslam dccomics mattel mastersofficial kimberlandart pepsi neca_toys hulkhogan konami metallica outbacksteakaus arcade_1up oreo pandaexpress pizzahut codyrhodes you got it brother.👍😉,en
22,['1651980223875895296'],1651980223875895296,"lovemesome1980s freebyrd316 nicomartelle hemanismyhero stradlemonkey brokenbridgegxb mark_lapping sinjun45 captainbacon61 addictedhe the_tyebox hemanfan1 brooksidefilms tentaclause gillster37 therealwallbie aliciamariebody lizhobbs1974 smax140adams cimerians michaelodomart jfdm76 wheeljack83 deanetts seitayokokawa kevhulk73 battleramblog tylerslam dccomics mattel mastersofficial kimberlandart pepsi neca_toys hulkhogan konami metallica outbacksteakaus arcade_1up oreo pandaexpress pizzahut codyrhodes how come i never know this day is coming until it’s already here? ha ha! do me a favor; remind us a few days before, next year! 👍👍
happy masters of the universe day!!! ⚔️💪",en
23,['1651979946892435463'],1651979946892435463,amalqa_ cocacola_ksa pepsi it's an old advertisement. i don't think they do this kind of ads now,en
24,['1651979745788149760'],1651979745788149760,respiroofficial pepsico pepsi yes it does if your girl is so sweet 😂😂,en
26,['1651978087054348288'],1651978087054348288,"rt indiatoday: old taste, new bottle, campa cola is making a comeback. most of us weren’t around when it was a hit, so let’s go down the n…",en
27,['1651977458621480960'],1651977458621480960,sofi_giuseppe pepsico pepsi what's the difference?,en
28,['1651977223564324873'],1651977223564324873,"thedrhell pepsico pepsi the hell is diabet? also, is it sexually transmitted?",en
29,['1651976892080173056'],1651976892080173056,stopfundinghate purecremation skyuk jet2tweets goldenleavesuk moneysupermkt fireawaypizza belgicaweb chumsclothinguk homestoreint postcodelottery rolex pepsi your tweet seems at odds with your name.,en
30,['1651975912689135617'],1651975912689135617,jmdr22 pepsico pepsi i drank and coke and ate oreos and died 4 times,en
31,['1651975714537652225'],1651975714537652225,"bryceyourselves sskroughriders northernpikes pepsi no, young people",en
32,['1651975623001137152'],1651975623001137152,freebyrd316 nicomartelle hemanismyhero stradlemonkey motudrawing brokenbridgegxb mark_lapping sinjun45 captainbacon61 addictedhe the_tyebox hemanfan1 brooksidefilms tentaclause gillster37 therealwallbie aliciamariebody lizhobbs1974 smax140adams cimerians michaelodomart jfdm76 wheeljack83 deanetts seitayokokawa kevhulk73 battleramblog tylerslam dccomics mattel mastersofficial kimberlandart pepsi neca_toys hulkhogan konami metallica outbacksteakaus arcade_1up oreo pandaexpress pizzahut codyrhodes lol!😄 i love it.,en
34,['1651975199590318080'],1651975199590318080,tesla_is_trex pepsico pepsi so is this website but here we all are,en
35,['1651974852423688192'],1651974852423688192,freebyrd316 nicomartelle hemanismyhero stradlemonkey motudrawing brokenbridgegxb mark_lapping sinjun45 captainbacon61 addictedhe the_tyebox hemanfan1 brooksidefilms tentaclause gillster37 therealwallbie aliciamariebody lizhobbs1974 smax140adams cimerians michaelodomart jfdm76 wheeljack83 deanetts seitayokokawa kevhulk73 battleramblog tylerslam dccomics mattel mastersofficial kimberlandart pepsi neca_toys hulkhogan konami metallica outbacksteakaus arcade_1up oreo pandaexpress pizzahut codyrhodes happy motu day to all my motu loving brothers and sisters!🤘⚡️🗡💪 heman motu greatesttoysevermade greatestfranchiseintheuniverse ,en
36,['1651974785377914880'],1651974785377914880,"the perfect pick-me-up for any time of day! whether you're at work, at home, or on the go, pepsi has got you covered. pepsiwithsam",en
37,['1651974675189170176'],1651974675189170176,craving something sweet and satisfying? look no further than pepsi - the classic cooldrink that never goes out of style pepsiwithsam,en
38,['1651974554619875334'],1651974554619875334,"when the going gets tough, the tough grab a can of pepsi. whether you're in the middle of a workday or a workout
pepsiwithsam",en
40,['1651973688793747456'],1651973688793747456,"commanders emmanuelforbes7 pepsi you’ll be ok, just put more muscles and weight.  nfl is another level.",en
41,['1651973437462663168'],1651973437462663168,sadderwashfan commanders emmanuelforbes7 pepsi saying that they look alike,en
42,['1651973065864265733'],1651973065864265733,jzed87 sskroughriders northernpikes pepsi did they cancel?,en
43,['1651972821533220866'],1651972821533220866,stopfundinghate purecremation skyuk jet2tweets goldenleavesuk moneysupermkt fireawaypizza belgicaweb chumsclothinguk homestoreint postcodelottery rolex pepsi oh the irony of your name is truly hilarious …. you can’t just shut down any narrative you want just because you disagree with it  … love gbnews and watch it daily,en
44,['1651972538451230727'],1651972538451230727,"drromantic3 jiminxtiffanyandco ponniyanselvan2. starwarsjedisurvivor istandwithmychampions
donjazzy heisrema afpfactcheck cocacola pepsi pepsi_naija jazzysburger  out yungjeezus iniobong venomspittah's video! tiktok ",en
45,['1651972025848832001'],1651972025848832001,"rt evan_van_ives: have a pepsi day ✌️ 

📸 boho_boys 

wideangle pepsi nsfw gay twink blond retro vintage 70s 80s legs https://…",en
47,['1651970404829855745'],1651970404829855745,dwyatthupton will_jun1or like it! we all know who wins pepsi defensive rookie of the week game 1,en
48,['1651969652027711489'],1651969652027711489,bryceyourselves sskroughriders northernpikes pepsi they ain’t coming anyways,en
49,['1651969517160108033'],1651969517160108033,"check out my gig on fiverr: organically premium youtube video promotion using google ads  
arsenal jisoo chatgpt pepsi tiffany google
haaland palestine everton spotify defi chelsea",en
0,['1651969041030938627'],1651969041030938627,commanders emmanuelforbes7 pepsi welcome to washington young man. looking forward to your future with washington.,en
2,['1651967371035262979'],1651967371035262979,stoolgreenie bruh just like the executed my grandfather on dogs frfr no cap it be bussin out here skeet yeet yurt furt pepsi,en
3,['1651967290014056448'],1651967290014056448,rt rasikarajano1: samantharuthprabhuhot samantha samanthahot samantharuthprabhu𓃵 pepsixsamantha pepsi armpitslover armpitaddict a…,en
4,['1651967254257623040'],1651967254257623040,rt rasikarajano1: samantharuthprabhuhot samantha samanthahot samantharuthprabhu𓃵 pepsixsamantha pepsi armpitslover armpitaddict a…,en
5,['1651966906125910016'],1651966906125910016,"pepsico pepsi i don't care what anyone says, this actually looks tasty",en
6,['1651966200157536259'],1651966200157536259,amalqa_ cocacola_ksa pepsi good one but coco cola is still better here. as pepsi local vendors donot do proper quality control,en
8,['1651965838264791041'],1651965838264791041,"rt suhas_dore__: happiest birthday sam😙💞
samanthaprabhu2 thenameisyash 

yash19 samantharuthprabhu yashboss
pepsi …",en
13,['1651962912423149568'],1651962912423149568,"pepsicocaresin sure pepsicocaresin i'm sharing my contact details through email, and for your convenience here is my mail id ramranjeet726gmail.com.

and for proof i'm attaching one video

pepsi pepsixsamantha pepsiriseupbaby ",en
14,['1651962464915845124'],1651962464915845124,ifu_nenya vnwalieoba pepsi 😂 they should,en
15,['1651960726423244800'],1651960726423244800,lovemesome1980s nicomartelle hemanismyhero stradlemonkey motudrawing brokenbridgegxb mark_lapping sinjun45 captainbacon61 addictedhe the_tyebox hemanfan1 brooksidefilms tentaclause gillster37 therealwallbie aliciamariebody lizhobbs1974 smax140adams cimerians michaelodomart jfdm76 wheeljack83 deanetts seitayokokawa kevhulk73 battleramblog tylerslam dccomics mattel mastersofficial kimberlandart pepsi neca_toys hulkhogan konami metallica outbacksteakaus arcade_1up oreo pandaexpress pizzahut codyrhodes happy masters of the universe day ,en
16,['1651960550983892992'],1651960550983892992,lovemesome1980s nicomartelle hemanismyhero stradlemonkey motudrawing brokenbridgegxb mark_lapping sinjun45 captainbacon61 addictedhe the_tyebox hemanfan1 brooksidefilms tentaclause gillster37 therealwallbie aliciamariebody lizhobbs1974 smax140adams cimerians michaelodomart jfdm76 wheeljack83 deanetts seitayokokawa kevhulk73 battleramblog tylerslam dccomics mattel mastersofficial kimberlandart pepsi neca_toys hulkhogan konami metallica outbacksteakaus arcade_1up oreo pandaexpress pizzahut codyrhodes todays strip ,en
17,['1651960448823033858'],1651960448823033858,commanders emmanuelforbes7 pepsi welcome to washington!,en
19,['1651959868868182016'],1651959868868182016,5 stocks that outperform in recession➡️ walmart pandg johnsonandjohnson mcdonalds pepsi ,en
24,['1651959008939343874'],1651959008939343874,lokissidechic vnwalieoba pepsi they should make you ambassador at this point. 😂,en
26,['1651957779446349824'],1651957779446349824,commanders hailstatefb emmanuelforbes7 pepsi hail state.,en
29,['1651955812917555201'],1651955812917555201,britvic  as promised: proof of my switch due to the pepsi recipe change consequences ,en
31,['1651955683896737793'],1651955683896737793,"
i really appreciate samantha's advice.
it's awesome!
pepsiwithsam
pepsiriseupsamantha pepsixsamantha pepsituterakarxsamantha livekhabar24x7 pepsi📷 ",en
34,['1651954768968036352'],1651954768968036352,", this ad film is absolutely gorgeous. great job, pepsi and samantha!

pepsiriseupsamantha pepsituterakarxsamantha pepsiwithsam livekhabar24x7 pepsixsamantha pepsi📷 ",en
35,['1651953284499009536'],1651953284499009536,"rt lightbuzzmedia: the best way to rise up is to be bold, brave and you! take the leap and rise up baby with light buzz media.

pepsirise…",en
39,['1651952741009203200'],1651952741009203200,"this advertising is not good at all, if you want to degrade your competitor, then improve the price, quality and packaging, do not make such advertisements and lower the morale of the company
cocacola_ksa
pepsi ",en
41,['1651951978858127360'],1651951978858127360,"cold pepsi for this hot weather

pepsi ",en
43,['1651950790154797058'],1651950790154797058,curiosityrocks nike blockbuster nerf mtv pepsi pokemon jumpman23 shaq cocacola slimjim thesimpsons nickelodean not missing that point at all. we will have physicals back in june and globally next year. we really want people especially kids to have the same experience we did. collectibles just for them. i have been opening 90s packs and feel the nostalgia hit instantly. i hope you will too,en
48,['1651946960687976450'],1651946960687976450,"rt kevinlmcrae: we are getting ready to crushthetest  theh , and we need your help! searching for donations of mini orange crush sodas!…",en
49,['1651946880723562497'],1651946880723562497,johnlew18002259 commanders emmanuelforbes7 pepsi hater clown,en
1,['1651946778152022016'],1651946778152022016,rt carol36994460: have your executives ever watched gbnews a channel of hateforhirejournalists  hateforhirejournalists  a channel you su…,en
3,['1651946044152791046'],1651946044152791046,pepsico pepsi make pepsi just sign me as there ambassador nobody go happy reach me,en
6,['1651945580438999040'],1651945580438999040,fezenwafor tesla_is_trex pepsico pepsi a mineral 😌✨,en
7,['1651943662719488001'],1651943662719488001,"pepsi’s new ad strategy, they have casted samantha empowering women
ad 
samantharuthprabhu 

 pepsiwithsam pepsi pepsi_zero_sugar pepsiriseupbaby 
pepsiriseupbabyxsamantha 
pepsituterakarxsamantha 
pepsixsamantha",en
8,['1651943239161610240'],1651943239161610240,commanders emmanuelforbes7 pepsi let's  welcome to washington commanders,en
11,['1651942562280636417'],1651942562280636417,pepsico pepsi wait what? did you seriously pour pepsi in a shake?,en
12,['1651942492105850881'],1651942492105850881,"stopfundinghate purecremation skyuk jet2tweets goldenleavesuk moneysupermkt fireawaypizza belgicaweb chumsclothinguk homestoreint postcodelottery rolex pepsi the first part of the common sense crusade, should focus on hairstyling.",en
14,['1651942329509646336'],1651942329509646336,"rt suhas_dore__: happiest birthday sam😙💞
samanthaprabhu2 thenameisyash 

yash19 samantharuthprabhu yashboss
pepsi …",en
